Genre,Version,type,difficulty,Achv,Chart Constant,bpm,releaseDate,Play Count,Last Played,Last Played_Year,Last Played_Month,Last Played_Day,noteCounts.tap,noteCounts.hold,noteCounts.slide,noteCounts.touch,noteCounts.break,noteCounts.total,songId_length,songId_English,songId_Japanese,songId_Punctuation
niconico＆VOCALOID™,23.0,1,2,92.63,9.5,127.0,0.0,1.0,1.73643336e+18,2025.0,1.0,9.0,176.0,24.0,26.0,12.0,12.0,250.0,10,0,10,0
maimai,19.0,1,2,99.95,11.9,128.0,155.0,1.0,1.75622316e+18,2025.0,8.0,26.0,172.0,49.0,33.0,56.0,4.0,314.0,15,14,0,0
niconico＆VOCALOID™,20.0,1,2,100.97,10.2,130.0,561.0,1.0,1.76229684e+18,2025.0,11.0,4.0,362.0,32.0,34.0,3.0,31.0,462.0,7,0,7,0
東方Project,20.0,1,2,99.27,10.2,172.0,981.0,1.0,1.75191552e+18,2025.0,7.0,7.0,252.0,97.0,22.0,15.0,44.0,430.0,10,7,2,0
maimai,22.0,1,2,99.37,11.0,190.0,981.0,1.0,1.75373094e+18,2025.0,7.0,28.0,349.0,59.0,44.0,9.0,34.0,495.0,6,0,6,0
niconico＆VOCALOID™,22.0,1,1,99.63,8.0,240.0,1246.0,1.0,1.74836682e+18,2025.0,5.0,27.0,324.0,13.0,10.0,26.0,2.0,375.0,7,0,7,0
niconico＆VOCALOID™,22.0,1,2,99.85,12.0,240.0,1246.0,3.0,1.7786826e+18,2026.0,5.0,13.0,506.0,56.0,33.0,32.0,13.0,640.0,7,0,7,0
niconico＆VOCALOID™,18.0,1,2,97.39,9.8,210.0,1618.0,2.0,1.74309042e+18,2025.0,3.0,27.0,314.0,75.0,15.0,51.0,53.0,508.0,7,0,7,0
maimai,16.0,1,2,98.83,11.3,132.0,2990.0,1.0,1.75373286e+18,2025.0,7.0,28.0,371.0,65.0,34.0,34.0,49.0,553.0,17,0,15,1
GAME＆VARIETY,16.0,1,2,94.99,12.2,200.0,2990.0,1.0,1.75571886e+18,2025.0,8.0,20.0,497.0,71.0,51.0,74.0,53.0,746.0,11,9,0,1
GAME＆VARIETY,16.0,1,2,97.25,11.2,174.0,3047.0,1.0,1.75459746e+18,2025.0,8.0,7.0,396.0,30.0,28.0,32.0,21.0,507.0,8,4,0,4
オンゲキ＆CHUNITHM,16.0,1,2,97.48,10.5,188.0,3061.0,2.0,1.7555538e+18,2025.0,8.0,18.0,447.0,47.0,48.0,23.0,62.0,627.0,6,0,6,0
POPS＆ANIME,16.0,1,2,94.7,8.7,156.0,3089.0,1.0,1.74050736e+18,2025.0,2.0,25.0,219.0,25.0,44.0,53.0,18.0,359.0,15,13,0,0
GAME＆VARIETY,16.0,1,2,99.91,11.8,180.0,3089.0,5.0,1.76780112e+18,2026.0,1.0,7.0,352.0,59.0,60.0,20.0,31.0,522.0,10,9,0,0
GAME＆VARIETY,16.0,1,2,99.22,12.0,210.0,3103.0,3.0,1.76799528e+18,2026.0,1.0,9.0,504.0,89.0,55.0,47.0,17.0,712.0,13,12,0,0
niconico＆VOCALOID™,16.0,1,2,100.89,9.0,185.0,3116.0,3.0,1.76229684e+18,2025.0,11.0,4.0,386.0,17.0,24.0,67.0,2.0,496.0,9,0,9,0
maimai,16.0,1,2,99.41,10.7,170.0,3145.0,1.0,1.75459974e+18,2025.0,8.0,7.0,290.0,38.0,70.0,7.0,20.0,425.0,13,0,13,0
