Name,Version,Difficulty,Level,Achievement,Play Count,Last Played
"躯樹の墓守","DX","basic","6","94.2324%",1,"2025/01/16 00:25"
"系ぎて","DX","basic","7","96.6252%",1,"2024/03/29 15:57"
"系ぎて","DX","advanced","10","94.0313%",1,"2025/05/27 17:51"
"廻廻奇譚","DX","advanced","7","97.6466%",1,"2024/07/03 15:38"
"廻廻奇譚","DX","expert","9+","93.9536%",1,"2025/04/12 00:19"
"廻廻奇譚","DX","master","11+","98.5108%",1,"2026/01/25 21:08"
"INTERNET YAMERO","DX","advanced","7+","96.3377%",1,"2024/08/19 18:12"
"INTERNET YAMERO","DX","expert","10+","99.6463%",2,"2025/06/20 20:17"
"INTERNET YAMERO","DX","master","11+","100.1801%",9,"2026/01/09 22:48"
"INTERNET OVERDOSE","DX","advanced","7","96.1104%",1,"2025/01/16 00:25"
"INTERNET OVERDOSE","DX","expert","10+","100.9714%",9,"2025/09/12 21:58"
"INTERNET OVERDOSE","DX","master","13","89.8548%",2,"2025/12/12 22:00"
"さくゆいたいそう","DX","advanced","6","99.2631%",1,"2025/02/22 00:02"
"さくゆいたいそう","DX","expert","9+","99.4591%",6,"2025/08/22 18:31"
"さくゆいたいそう","DX","master","12+","99.2479%",5,"2026/01/31 14:30"
"偉大なる悪魔は実は大天使パトラちゃん様なのだ！","DX","advanced","7+","98.4981%",1,"2025/01/09 15:36"
"偉大なる悪魔は実は大天使パトラちゃん様なのだ！","DX","expert","10+","100.6359%",2,"2025/08/29 17:01"
"過去を喰らう","DX","advanced","7","100.3911%",1,"2025/01/09 17:17"
"過去を喰らう","DX","expert","10","97.1234%",1,"2025/03/04 18:40"
"ミラクル・ショッピング","Standard","advanced","7","98.1506%",1,"2024/07/03 15:20"
"ミラクル・ショッピング","Standard","expert","10+","98.2551%",2,"2025/06/16 19:55"
"ミラクル・ショッピング","Standard","master","12+","98.7051%",6,"2026/01/02 16:13"
"インドア系ならトラックメイカー","DX","advanced","7+","100.8613%",1,"2025/06/16 20:05"
"インドア系ならトラックメイカー","DX","expert","10","100.9132%",7,"2025/09/08 17:10"
"グッバイ宣言","DX","advanced","7","97.7006%",1,"2024/03/29 15:57"
"グッバイ宣言","DX","expert","9+","93.7196%",2,"2025/03/27 18:00"
"グッバイ宣言","DX","master","12+","96.6076%",2,"2026/01/31 15:06"
"アニマル","DX","advanced","7+","100.3961%",1,"2024/08/19 19:36"
"アニマル","DX","expert","10+","100.7632%",2,"2025/10/17 22:44"
"ヒバナ","Standard","advanced","8","98.1287%",1,"2025/01/09 16:11"
"ヒバナ","Standard","expert","11","100.9021%",4,"2025/10/17 23:04"
"ヒバナ","Standard","master","12","100.5114%",6,"2026/01/01 12:44"
"初音ミクの消失","DX","advanced","8","99.6298%",1,"2025/05/27 18:27"
"初音ミクの消失","DX","expert","12","99.8489%",2,"2025/08/13 20:00"
"ラヴィ","DX","advanced","7","98.8396%",1,"2025/01/16 00:25"
"グリーンライツ・セレナーデ","DX","advanced","7","98.7155%",1,"2024/07/03 15:38"
"グリーンライツ・セレナーデ","DX","expert","10","66.5314%",1,"2024/08/19 18:47"
"ロキ","Standard","advanced","8","98.9719%",1,"2024/08/19 19:36"
"ロキ","Standard","master","11+","97.9951%",1,"2025/08/22 18:12"
"パーフェクト生命","Standard","advanced","8","100.2073%",1,"2025/06/20 20:59"
"パーフェクト生命","Standard","expert","10","96.8177%",1,"2025/06/27 20:38"
"さよならプリンセス","DX","advanced","7","99.9141%",2,"2024/08/19 18:29"
"さよならプリンセス","DX","expert","10+","99.1162%",1,"2025/07/10 20:44"
"だんだん早くなる","Standard","advanced","8","97.7621%",1,"2025/02/22 00:44"
"だんだん早くなる","Standard","expert","10","100.2867%",3,"2025/07/11 19:57"
"だんだん早くなる","Standard","master","12","100.4032%",11,"2025/12/30 22:12"
"恋愛裁判","Standard","advanced","7","97.7837%",1,"2024/08/19 18:12"
"恋愛裁判","Standard","expert","10","99.0124%",2,"2025/07/02 20:58"
"恋愛裁判","Standard","master","11+","99.8381%",27,"2026/01/21 17:18"
"ナイトメア☆パーティーナイト","Standard","advanced","8","100.0655%",1,"2025/02/22 00:44"
"ナイトメア☆パーティーナイト","Standard","expert","11","100.5078%",1,"2025/08/26 17:31"
"ナイトメア☆パーティーナイト","Standard","master","11+","99.6931%",8,"2026/01/07 16:30"
"さよならヒストリー","DX","advanced","7","95.6805%",1,"2024/08/19 18:29"
"さよならヒストリー","DX","expert","10","100.4437%",2,"2025/08/26 16:02"
"ひれ伏せ愚民どもっ！","Standard","advanced","7+","100.6500%",1,"2025/06/20 20:59"
"Calamity Fortune","Standard","advanced","9","100.2371%",1,"2025/07/10 20:44"
"Chronomia","DX","advanced","8","96.4864%",1,"2025/02/25 19:02"
"Chronomia","DX","expert","12","99.6972%",8,"2026/01/17 20:21"
"Luminaria","DX","advanced","7+","94.9814%",1,"2025/01/09 15:53"
"Luminaria","DX","expert","12","100.1291%",6,"2025/12/18 14:59"
"QUATTUORUX","DX","advanced","8+","95.1607%",1,"2024/08/19 18:47"
"INFiNiTE ENERZY -Overdoze-","DX","advanced","8","99.6604%",1,"2025/04/11 23:53"
"神威","DX","advanced","8+","100.3769%",1,"2025/08/20 21:35"
"Good Bye, Mr. Jack","Standard","advanced","9","91.2078%",1,"2024/03/29 15:57"
"ouroboros -twin stroke of the end-","DX","advanced","9","100.7561%",2,"2025/07/10 21:23"
"ouroboros -twin stroke of the end-","DX","expert","12","99.0843%",6,"2025/12/26 22:22"
"Abstruse Dilemma","DX","advanced","8+","98.6216%",1,"2025/03/04 19:00"
"Abstruse Dilemma","DX","expert","12","99.4993%",2,"2025/12/18 17:11"
"極圏","Standard","advanced","9","99.2303%",1,"2025/07/10 21:23"
"きたさいたま2000","Standard","advanced","8+","99.8455%",1,"2025/08/18 23:21"
"セイクリッド　ルイン","Standard","advanced","9+","96.8789%",1,"2025/03/27 16:47"
"FREEDOM DiVE (tpz Overcute Remix)","Standard","advanced","9","97.6964%",2,"2025/02/16 01:37"
"FREEDOM DiVE (tpz Overcute Remix)","Standard","expert","12+","100.1825%",5,"2026/01/15 20:32"
"ミラクルポップ☆アドベンチャー!!!!!","DX","advanced","8","100.6551%",1,"2025/07/03 21:29"
"エナドリおいしいソング","DX","advanced","8+","96.7693%",1,"2025/04/12 00:19"
"星空パーティーチューン","DX","advanced","8+","98.5399%",2,"2025/02/22 00:44"
"星空パーティーチューン","DX","expert","11","100.3617%",8,"2026/01/06 17:34"
"前衛的Landscape","DX","advanced","8","98.9592%",1,"2025/01/16 00:25"
"前衛的Landscape","DX","expert","11","99.8394%",1,"2025/08/18 23:36"
"FEEL the BEATS","Standard","advanced","8+","83.6560%",1,"2025/02/16 01:15"
"mystique as iris","DX","advanced","9+","97.9181%",1,"2025/05/27 17:51"
"雨露霜雪","DX","advanced","9","100.8657%",4,"2025/08/20 21:35"
"QZKago Requiem","Standard","advanced","10+","96.2127%",1,"2025/07/03 20:57"
"QZKago Requiem","Standard","expert","13","95.3246%",1,"2026/01/31 18:37"
"IF:U","DX","advanced","8","99.3448%",1,"2025/01/09 17:17"
"raputa","DX","advanced","8+","100.6680%",1,"2025/05/27 18:47"
"the EmpErroR","Standard","advanced","10+","98.1693%",2,"2025/08/07 21:49"
"VeRForTe αRtE:VEiN","DX","advanced","8","100.5551%",1,"2025/08/20 22:09"
"[X]","DX","advanced","8","100.7708%",1,"2025/08/22 17:12"
"VIIIbit Explorer","Standard","advanced","8","100.3814%",1,"2025/08/07 21:30"
"VIIIbit Explorer","Standard","expert","12+","96.3676%",2,"2025/11/14 22:42"
