songId,type,difficulty,noteCounts.tap,noteCounts.hold,noteCounts.slide,noteCounts.touch,noteCounts.break,noteCounts.total,noteDesigner
"""411Ψ892""",dx,basic,179,15,4,21,8,227,-
"""411Ψ892""",dx,advanced,298,31,12,31,10,382,-
"""411Ψ892""",dx,expert,416,53,52,25,85,631,ロシェ@ペンギン
"""411Ψ892""",dx,master,664,53,86,39,103,945,サファ太 vs じゃこレモン
#狂った民族２ PRAVARGYAZOOQA,dx,basic,172,10,10,8,44,244,-
#狂った民族２ PRAVARGYAZOOQA,dx,advanced,291,22,10,26,6,355,-
#狂った民族２ PRAVARGYAZOOQA,dx,expert,166,46,12,28,250,502,翠楼屋
#狂った民族２ PRAVARGYAZOOQA,dx,master,750,40,98,22,53,963,じゃこレモン
+♂,std,basic,246,8,4,NULL,2,260,-
+♂,std,advanced,406,16,5,NULL,12,439,-
+♂,std,expert,446,51,31,NULL,8,536,Jack
+♂,std,master,606,26,144,NULL,38,814,はっぴー
-OutsideR:RequieM-,std,basic,173,21,10,NULL,7,211,-
-OutsideR:RequieM-,std,advanced,274,28,20,NULL,6,328,-
-OutsideR:RequieM-,std,expert,421,56,40,NULL,3,520,はっぴー
-OutsideR:RequieM-,std,master,636,21,130,NULL,30,817,Jack
1000年生きてる,dx,basic,119,14,4,16,3,156,-
1000年生きてる,dx,advanced,256,22,4,15,5,302,-
1000年生きてる,dx,expert,271,31,10,50,25,387,サファ太
1000年生きてる,dx,master,404,46,96,38,17,601,はっぴー
184億回のマルチトニック,dx,basic,241,14,6,8,8,277,-
184億回のマルチトニック,dx,advanced,323,24,10,33,1,391,-
184億回のマルチトニック,dx,expert,490,54,62,14,38,658,鳩ホルダー
184億回のマルチトニック,dx,master,886,31,116,73,38,1144,Jack
39,std,basic,86,31,5,NULL,4,126,-
39,std,advanced,159,45,8,NULL,6,218,-
39,std,expert,196,78,15,NULL,8,297,ニャイン
39,std,master,374,55,40,NULL,43,512,譜面-100号
39,std,remaster,380,66,90,NULL,39,575,はっぴー
39,dx,basic,62,16,2,11,2,93,-
39,dx,advanced,136,14,11,28,9,198,-
39,dx,expert,201,97,19,63,10,390,はっぴー
39,dx,master,352,35,78,104,33,602,Jack
39みゅーじっく！,dx,basic,77,8,4,22,7,118,-
39みゅーじっく！,dx,advanced,187,11,8,13,23,242,-
39みゅーじっく！,dx,expert,301,40,27,44,21,433,小鳥遊さん
39みゅーじっく！,dx,master,367,24,68,101,14,574,シチミヘルツ
7thSense,std,basic,206,25,12,NULL,4,247,-
7thSense,std,advanced,348,30,17,NULL,9,404,-
7thSense,std,expert,403,59,27,NULL,26,515,ぴちネコ
7thSense,std,master,640,46,96,NULL,77,859,ロシェ@ペンギン
8-EM,dx,basic,163,7,8,10,5,193,-
8-EM,dx,advanced,322,9,13,42,6,392,-
8-EM,dx,expert,468,103,66,56,7,700,Jack
8-EM,dx,master,585,51,84,73,31,824,小鳥遊チミ
AFTER PANDORA,std,basic,165,6,8,NULL,4,183,-
AFTER PANDORA,std,advanced,275,11,6,NULL,6,298,-
AFTER PANDORA,std,expert,255,44,29,NULL,5,333,Jack
AFTER PANDORA,std,master,428,21,102,NULL,25,576,はっぴー
ALiVE,dx,basic,106,7,3,6,2,124,-
ALiVE,dx,advanced,256,11,14,16,10,307,-
ALiVE,dx,expert,369,40,28,14,10,461,サファ太
ALiVE,dx,master,465,75,93,95,20,748,ぴちネコ
AMABIE,dx,basic,202,4,5,8,2,221,-
AMABIE,dx,advanced,328,23,25,26,9,411,-
AMABIE,dx,expert,374,44,57,77,60,612,ぴちネコ
AMABIE,dx,master,748,37,59,82,6,932,はっぴー
AMAZING MIGHTYYYY!!!!,std,basic,347,10,8,NULL,9,374,-
AMAZING MIGHTYYYY!!!!,std,advanced,496,60,12,NULL,8,576,-
AMAZING MIGHTYYYY!!!!,std,expert,781,36,71,NULL,12,900,はっぴー
AMAZING MIGHTYYYY!!!!,std,master,865,69,151,NULL,41,1126,ぴちネコ vs Jack
AMAZING MIGHTYYYY!!!!,std,remaster,874,65,162,NULL,38,1139,はっぴー
ARAIS,dx,basic,156,28,6,8,8,206,-
ARAIS,dx,advanced,374,23,15,15,9,436,-
ARAIS,dx,expert,475,83,30,14,34,636,小鳥遊さん
ARAIS,dx,master,851,14,59,54,22,1000,Sukiyaki vs Happy
ARROW,std,basic,137,13,6,NULL,3,159,-
